name,URL,danceability,loudness,speechiness,acousticness,liveness,energy,instrumentalness,valence,tempo
Sentamizh Penne,https://open.spotify.com/track/2mVvkjyvr20g45Tu56Ln4b,0.867,-6.91,0.111,0.0139,0.0378,0.725,3.76e-06,0.309,99.984
Only One King,https://open.spotify.com/track/2qzl10bAolDzYE505AWfIV,0.683,-4.666,0.131,0.0599,0.365,0.933,2.63e-06,0.422,143.972
Scam 1992 Theme Music,https://open.spotify.com/track/3A04b0nJb2nAzGUw2rqDsI,0.516,-11.45,0.0249,0.00411,0.34,0.486,0.277,0.454,87.045
Overwhelmed,https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y,0.804,-11.127,0.305,0.308,0.15,0.323,0,0.456,87.019
Superheroes,https://open.spotify.com/track/37sINbJZcFdHFAsVNsPq1i,0.491,-4.121,0.0395,0.00219,0.0741,0.885,0,0.641,166.992
Can We Kiss Forever?,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,0.522,-18.717,0.0357,0.894,0.0941,0.128,0.026,0.124,109.986
Sunflower - Spider-Man: Into the Spider-Verse,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,0.76,-5.574,0.0466,0.556,0.0703,0.479,0,0.913,89.911
Lush Life,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,0.694,-3.923,0.046,0.133,0.211,0.712,0,0.799,98.022
Born For This,https://open.spotify.com/track/5Sco7mbJy7p7vdDtJW10fZ,0.631,-6.27,0.0405,0.0576,0.0938,0.684,0,0.528,129.974
Cup of Coffee,https://open.spotify.com/track/4xKPZYZrpdFJIsN6wYtIk2,0.471,-16.935,0.0492,0.113,0.1,0.296,0.807,0.15,141.139
Pistah,https://open.spotify.com/track/4oWyW7U9YVox9jqTar9k0V,0.625,-8.062,0.165,0.0654,0.104,0.766,0.0022,0.692,171.921
Balam Pichkari,https://open.spotify.com/track/18e3XXYCv4Tx8uUl1mP3CN,0.732,-4.115,0.09,0.209,0.403,0.944,0,0.957,120.019
Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.748,-5.599,0.0338,0.414,0.111,0.524,0,0.661,95.01
Nira Ishq,https://open.spotify.com/track/0Id2IzhR3w50aP2PHfMUE3,0.703,-7.3,0.0444,0.111,0.0515,0.609,0,0.696,89.929
Marappadhilai Nenje - Additional Song,https://open.spotify.com/track/4Ndcwn2iAt1MdU6lpw24ZQ,0.527,-6.825,0.0282,0.557,0.148,0.535,0,0.158,93.021
Seramal Ponal,https://open.spotify.com/track/0FTPiuMAGuvXVjeXh7g8ot,0.506,-6.494,0.0306,0.768,0.0889,0.532,5.37e-05,0.456,140.175
Thaarame Thaarame,https://open.spotify.com/track/1hhLL2eWsnPtYCdDjbiRIU,0.594,-6.491,0.0343,0.677,0.108,0.53,0,0.32,139.878
It's Time,https://open.spotify.com/track/7MXlTgQeo3IVlMpLnZuhxc,0.656,-4.748,0.0372,0.0162,0.144,0.884,0,0.86,105.009
Avalukena,https://open.spotify.com/track/6nP69wy9Y1PonStmqt33uk,0.5,-10.043,0.0348,0.758,0.0828,0.374,0.000438,0.425,79.992
Daylight,https://open.spotify.com/track/1NNAI51EuoRWw1ydX1zV7S,0.656,-5.473,0.0269,0.00242,0.255,0.674,0,0.369,120.001
Savage Love (Laxed - Siren Beat),https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.767,-8.52,0.0803,0.234,0.269,0.481,0,0.761,150.076
Nenjukulla Nee,https://open.spotify.com/track/1VBkQidkoJXhQPJsAvSkNP,0.503,-4.756,0.108,0.313,0.0861,0.884,2.49e-06,0.75,119.861
Badtameez Dil,https://open.spotify.com/track/4eu27jAU2bbnyHUC3G75U8,0.805,-2.228,0.0684,0.24,0.216,0.932,0,0.792,106.019
"Kasu Panam - From ""Soodhu Kavvum""",https://open.spotify.com/track/4hk0ojHySZ33JSGq37qddO,0.853,-7.85,0.258,0.108,0.666,0.668,1.13e-06,0.648,140.015
"Pondattee - From ""Golisoda 2""",https://open.spotify.com/track/28zGTndSQj4JT9nCPHRoTV,0.692,-7.942,0.0678,0.295,0.116,0.624,1.46e-05,0.759,169.999
Skyscraper,https://open.spotify.com/track/4B3RmT3cGvh8By3WY9pbIx,0.573,-3.325,0.0276,0.148,0.128,0.581,0,0.188,103.82
Thunder,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,0.605,-4.833,0.0438,0.00671,0.147,0.822,0.134,0.288,167.997
